pop,Site,Code,longitude,latitude,ele,lat,nor,cwd1951_1980,ppt1951_1980,djf1951_1980,jja1951_1980,tmn1951_1980,tmx1951_1980,pet1951_1980,aet1951_1980,newpopnumber
1,Summit_City_3,SMT,-122.371565,40.665693,230,296898.103,0.004166201,690.0800103,1221.930018,3.762749916,34.29091657,10.3815206,23.58504164,1174.547518,481.3300072,2
2,Paynes_Creek_2,PAY,-121.824967,40.34589,870,260369.6131,-0.053626405,746.8175111,909.4075136,0.824583315,30.99741666,6.238333194,20.2635,1146.707517,363.5550054,NA
3,Lyonsville_3,LYN,-121.87941,40.346857,658,260567.3311,0.072472241,671.70251,849.1050127,1.818499959,32.57500011,7.29620817,22.08297918,1144.422517,456.0125068,1
4,Mineral_2,MIN,-122.023796,40.312904,263,257049.83,0.05453254,789.6375118,724.5850108,3.071166598,33.68558332,9.306603959,23.24704162,1139.080017,344.4475051,NA
5,Dales_1,DAL,-122.098178,40.301173,203,255884.6901,0.058213427,829.0800124,712.7675106,3.12074993,34.11608332,9.473312288,23.53218748,1161.332517,327.2150049,NA
6,Brownsville_5,BRL,-121.282711,39.451884,631,160305.621,0.019900222,730.4575109,1445.377522,1.253249972,31.24266659,6.694083184,21.47164581,1204.517518,447.5500067,NA
7,Sierra_Foothills_Research_&_Extension_Center,SFR,-121.301901,39.265317,405,139597.1875,-0.10946557,832.6525124,957.0575143,2.645916608,32.24374998,8.196749817,22.46647919,1251.102519,408.4925061,NA
8,Browns_Valley_2,BRY,-121.412824,39.267166,108,139939.5599,-0.028229338,905.2200135,683.5275102,3.511333255,33.59333328,9.171833128,23.41954168,1265.802519,354.9700053,NA
9,Hopland_Research_&_Extension_Center,HOP,-123.090919,39.017207,387,115610.0373,-0.075688541,707.2675105,1016.077515,2.567833276,31.31333343,6.610187352,22.05950002,1165.387517,444.4000066,NA
10,Camino_?,CAM,-120.63,38.77,1010,83956.79894,0.175842043,716.6225107,1131.920017,0.772666649,30.92558339,6.744854016,20.23791666,1184.432518,427.2250064,NA
11,Placerville_?,PLA,-120.78,38.77,435,84053.6099,0.136059979,744.5400111,898.3900134,1.543666632,31.91091663,6.760791516,21.88766663,1185.527518,420.7600063,NA
12,Cameron_Park_1-1,CAM,-121.028044,38.648399,341,70743.14543,0.10030558,871.120013,764.9000114,2.501666611,32.68541671,7.687062328,22.61287503,1249.227519,366.7150055,NA
13,El_Dorado_Hills_1-1,ELO,-121.099108,38.662941,186,72428.77868,-0.002777756,891.8275133,657.0575098,3.552916587,32.67733335,8.822353969,22.78483332,1254.580019,357.0525053,NA
14,Clayton_1,CLY,-121.89153,37.9153,254,-9578.52904,0.098558589,807.040012,541.2825081,3.949666578,29.84758329,7.863270658,21.67431247,1150.317517,339.4400051,NA
15,Sugarpine_?,SUG,-120.2416,38.11735,903,11253.02952,0.065934767,733.8575109,1014.252515,-0.771499983,31.47449985,4.944791556,21.16574999,1193.297518,392.9775059,3
16,Stanislaus_Ranger_District,SRD,-120.36765,37.982142,638,-3741.979358,0.068817759,783.2500117,836.5575125,0.42974999,32.50149999,6.187958195,22.18125002,1264.467519,440.8900066,4
17,Jamestown_1,JAM,-120.56026,37.846999,303,-18682.46281,-0.025443899,949.5800141,579.4375086,4.501833233,33.22050004,9.012145632,23.56025003,1325.21252,371.0950055,NA
18,Sonora_1,SON,-120.654557,37.816318,104,-22040.00395,-0.024497348,981.6850146,454.6725068,2.641083274,33.32750004,7.928645656,23.48758337,1284.692519,290.5950043,5
19,Carmel_Valley_1,CML,-121.32248,36.280139,110,-192160.628,-0.012032406,848.6550126,405.660006,3.092333264,27.87583327,6.396124857,22.98018748,1255.710019,397.2575059,NA
20,Hunter_Liggett_1,HUN,-121.368873,36.073197,409,-215094.2411,-0.038358986,879.8575131,618.9075092,0.404999991,33.27991673,4.219312406,24.53854165,1275.682519,354.0075053,NA
21,Elderwood_3,ELD,-119.132382,36.751552,610,-140243.4259,-0.084187909,930.3275139,653.7275097,3.008499933,32.90716653,9.590791452,22.83424995,1356.67252,415.4025062,NA
22,San_Joaquin_Experimental_Range,SJR,-119.742933,37.101874,348,-101627.6352,-0.025453925,993.3000148,471.685007,1.852583292,35.45325004,7.802395659,24.51885417,1367.29002,354.3625053,7
23,Friant_1,FRI,-119.637634,37.006433,401,-112205.818,-0.072302297,1037.892515,461.2225069,1.5110833,35.14624983,7.510916499,24.32597911,1329.45252,268.762504,NA
24,Pozo_1,POZ,-120.441111,35.287418,491,-303178.8893,0.003237187,758.2075113,662.0775099,0.739249983,31.12166651,4.930333223,23.32268747,1290.007519,493.0175073,NA
25,Glennville_1,GLN,-118.773841,35.706879,923,-255964.8,-0.032361093,937.215014,502.3625075,0.110249998,31.07483311,5.896874868,21.47956246,1350.07252,359.4175054,NA
26,Santa_Maria_3,SMR,-120.065918,35.086963,610,-325530.0516,0.322720528,985.8075147,560.4525084,3.066999931,32.80875009,8.560978975,23.0505417,1351.91752,355.4100053,6
107,SFREC_Garden,SFREC,-121.317384,39.246756,199,137553.0746,-0.052937381,862.0475128,772.0950115,3.330333259,33.48600012,8.889958135,23.13620838,1248.232519,380.0325057,NA
109,HREC_Garden,HREC,-123.095917,39.013707,256,115235.344,-0.176113108,732.5775109,977.7225146,2.195583284,31.96966662,6.106333197,22.77762497,1169.090017,421.3575063,H
